Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,2257,DnUnc,2026-07-02T15:34:21+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 49058778
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2257
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: fafd48b7"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -106/-8.2,6,2643,UpCnf,2026-07-02T15:34:21+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 48058778
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2643
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -8.2
RSSI: -106
Power: -
Payload(b64): BAAABAAB
Payload(hex): 040000040001
JSON: {""gpio_in_2"":1}
MIC: 0763a362"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,2256,DnUnc,2026-07-02T15:34:11+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 38624416
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2256
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 08fe763b"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -107/-8.8,6,2641,UpCnf,2026-07-02T15:34:10+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 37624416
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2641
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -8.8
RSSI: -107
Power: -
Payload(b64): BAAABAAB
Payload(hex): 040000040001
JSON: {""gpio_in_2"":1}
MIC: 4813ca71"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,2255,DnUnc,2026-07-02T15:33:48+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 15841993
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2255
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 462ed7f6"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -107/-9.5,34,2638,UpCnf,2026-07-02T15:33:48+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 14841993
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2638
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -9.5
RSSI: -107
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: b96a0d43"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,2254,DnUnc,2026-07-02T15:33:34+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1656915
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2254
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 631b7be0"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -107/-6.0,6,2636,UpCnf,2026-07-02T15:33:34+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 656915
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2636
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -6.0
RSSI: -107
Power: -
Payload(b64): BAAABAAB
Payload(hex): 040000040001
JSON: {""gpio_in_2"":1}
MIC: 8c162301"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,2253,DnUnc,2026-07-02T15:33:32+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 4294712344
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2253
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: e9528856"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -106/-4.2,34,2635,UpCnf,2026-07-02T15:33:32+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 4293712344
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2635
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -4.2
RSSI: -106
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 8403fcd0"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,2252,DnUnc,2026-07-02T15:33:30+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 4292443759
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2252
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: e338dd64"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -106/-7.8,6,2634,UpCnf,2026-07-02T15:33:29+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 4291443759
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2634
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -7.8
RSSI: -106
Power: -
Payload(b64): BAAABAAB
Payload(hex): 040000040001
JSON: {""gpio_in_2"":1}
MIC: 99f3f074"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,2251,DnUnc,2026-07-02T15:33:17+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 4280044802
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2251
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 0044be55"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -106/-7.0,6,2632,UpCnf,2026-07-02T15:33:17+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 4279044802
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2632
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -7.0
RSSI: -106
Power: -
Payload(b64): BAAABAAB
Payload(hex): 040000040001
JSON: {""gpio_in_2"":1}
MIC: 1da73ac7"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,2250,DnUnc,2026-07-02T15:33:11+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 4273628437
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2250
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 7ec04e34"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -107/-7.2,34,2631,UpCnf,2026-07-02T15:33:11+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 4272628437
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2631
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -7.2
RSSI: -107
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: d3d5d8b0"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,2249,DnUnc,2026-07-02T15:31:59+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 4201389760
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2249
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 7a5a8ae7"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -107/-9.0,3,2622,UpCnf,2026-07-02T15:31:58+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 4200389760
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2622
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -9.0
RSSI: -107
Power: -
Payload(b64): BAAB
Payload(hex): 040001
JSON: {""gpio_in_2"":1}
MIC: f6794b95"
