Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,1161,DnUnc,2026-07-02T12:34:59+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2171665381
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1161
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 27158b61"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -98/7.2,34,1346,UpCnf,2026-07-02T12:34:59+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2170665381
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1346
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 7.2
RSSI: -98
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 54805f65"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,1160,DnUnc,2026-07-02T12:34:57+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2170038835
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1160
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 4f5b6b09"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -98/6.2,3,1345,UpCnf,2026-07-02T12:34:57+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2169038835
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1345
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 6.2
RSSI: -98
Power: -
Payload(b64): BAAA
Payload(hex): 040000
JSON: {""gpio_in_2"":0}
MIC: a26e89ab"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,1159,DnUnc,2026-07-02T12:34:04+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2116900007
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1159
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 1f7e1375"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -106/-6.8,3,1344,UpCnf,2026-07-02T12:34:04+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2115900007
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1344
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -6.8
RSSI: -106
Power: -
Payload(b64): BAAA
Payload(hex): 040000
JSON: {""gpio_in_2"":0}
MIC: 849d389a"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,1158,DnUnc,2026-07-02T12:34:01+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2113756325
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1158
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 00cda5e3"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -108/-10.0,3,1344,UpCnf,2026-07-02T12:34:01+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2112756325
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1344
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -10.0
RSSI: -108
Power: -
Payload(b64): BAAA
Payload(hex): 040000
JSON: {""gpio_in_2"":0}
MIC: 849d389a"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -/-,0,1157,DnUnc,2026-07-02T12:34:00+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2112460568
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1157
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 11759c96"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -101/-10.0,34,1343,UpCnf,2026-07-02T12:33:59+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2111460568
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1343
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -10.0
RSSI: -101
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 9922d085"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -/-,0,1156,DnUnc,2026-07-02T12:33:29+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2081413084
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1156
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 0e775aac"
