Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,1883,DnUnc,2026-07-02T14:56:06+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2048277984
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 1883
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: ef868030"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -88/12.8,0,2240,UpUnc,2026-07-02T14:56:05+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2047277984
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2240
Port: 0
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 12.8
RSSI: -88
Power: -
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 61c2a9e1"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,1882,DnUnc,2026-07-02T14:56:04+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2046634926
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1882
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: db3574ed"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -99/5.5,3,2239,UpCnf,2026-07-02T14:56:04+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2045634926
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2239
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 5.5
RSSI: -99
Power: -
Payload(b64): BAAA
Payload(hex): 040000
JSON: {""gpio_in_2"":0}
MIC: 3db17566"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,1881,DnUnc,2026-07-02T14:56:02+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2044640043
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1881
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 4b0e13b8"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -93/10.8,34,2238,UpCnf,2026-07-02T14:56:02+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2043640043
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2238
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 10.8
RSSI: -93
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 5b140728"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -/-,0,1880,DnUnc,2026-07-02T14:56:00+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2042852961
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1880
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 9682ac92"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -95/4.2,6,2237,UpCnf,2026-07-02T14:56:00+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2041852961
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2237
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 4.2
RSSI: -95
Power: -
Payload(b64): BAAABAAB
Payload(hex): 040000040001
JSON: {""gpio_in_2"":1}
MIC: d2194ab6"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,1879,DnUnc,2026-07-02T14:55:59+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 2041276086
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 1879
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 94510dba"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -101/4.0,34,2236,UpCnf,2026-07-02T14:55:58+02:00,"Dev Addr/Multicast Addr: 06792e51
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 2040276086
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2236
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 4.0
RSSI: -101
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: b267e189"
