Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -/-,0,2997,DnUnc,2026-06-29T16:19:19+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1052740478
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2997
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 612a28b6"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -100/7.8,3,2957,UpCnf,2026-06-29T16:19:18+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1051740478
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2957
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 7.8
RSSI: -100
Power: -
Payload(b64): BAAA
Payload(hex): 040000
JSON: {""gpio_in_2"":0}
MIC: 629202df"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,2996,DnUnc,2026-06-29T16:19:17+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1051322583
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2996
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: b9871e53"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -100/9.2,34,2956,UpCnf,2026-06-29T16:19:17+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1050322583
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2956
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 9.2
RSSI: -100
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: fc69abd5"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,2995,DnUnc,2026-06-29T16:19:15+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1049531450
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2995
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: efe51e86"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -100/8.8,3,2955,UpCnf,2026-06-29T16:19:15+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1048531450
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2955
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 8.8
RSSI: -100
Power: -
Payload(b64): BAAB
Payload(hex): 040001
JSON: {""gpio_in_2"":1}
MIC: 1cc97f60"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,2994,DnUnc,2026-06-29T16:18:55+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1029260784
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2994
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 60854e20"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -100/9.0,3,2954,UpCnf,2026-06-29T16:18:55+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1028260784
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2954
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 9.0
RSSI: -100
Power: -
Payload(b64): BAAA
Payload(hex): 040000
JSON: {""gpio_in_2"":0}
MIC: 2767bb39"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,2993,DnUnc,2026-06-29T16:18:54+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1028154433
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 2993
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 062c53c2"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -99/9.2,3,2954,UpCnf,2026-06-29T16:18:54+02:00,"Dev Addr/Multicast Addr: 0770d40a
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1027154433
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 2954
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 9.2
RSSI: -99
Power: -
Payload(b64): BAAA
Payload(hex): 040000
JSON: {""gpio_in_2"":0}
MIC: 2767bb39"
