Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,595,DnUnc,2026-06-30T15:05:55+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1638060708
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 595
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 59109491"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -90/11.8,0,1008,UpUnc,2026-06-30T15:05:55+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1637060708
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1008
Port: 0
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 11.8
RSSI: -90
Power: -
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 5689099a"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,594,DnUnc,2026-06-30T15:05:53+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1636113795
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 594
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 5cad0de1"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -98/8.2,34,1007,UpCnf,2026-06-30T15:05:53+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1635113795
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1007
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 8.2
RSSI: -98
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 921ec269"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,593,DnUnc,2026-06-30T15:05:52+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1634386706
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 593
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 16beb2b2"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -89/12.5,3,1006,UpCnf,2026-06-30T15:05:51+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1633386706
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1006
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 12.5
RSSI: -89
Power: -
Payload(b64): BAAA
Payload(hex): 040000
JSON: {""gpio_in_2"":0}
MIC: 33c92116"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,592,DnUnc,2026-06-30T15:05:50+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1632447872
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 592
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 340ce52e"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -104/2.8,34,1005,UpCnf,2026-06-30T15:05:49+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1631447872
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1005
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 2.8
RSSI: -104
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 4f061995"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,591,DnUnc,2026-06-30T15:05:48+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 1631056731
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 591
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 1aca45d8"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -97/8.5,6,1004,UpCnf,2026-06-30T15:05:48+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 1630056731
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 1004
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 8.5
RSSI: -97
Power: -
Payload(b64): BAAABAAA
Payload(hex): 040000040000
JSON: {""gpio_in_2"":0}
MIC: 9ae6d593"
