Device EUI/Group,Gateway ID,Frequency,Datarate,RSSI/SNR,Size,Fcnt,Type,Time,Details
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -/-,0,60,DnUnc,2026-06-30T12:01:07+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 3434854894
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: false
Fcnt: 60
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 1dd05efd"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -105/-2.5,0,104,UpUnc,2026-06-30T12:01:07+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 3433854894
Type: UpUnc
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 104
Port: 0
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -2.5
RSSI: -105
Power: -
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 1db1fe9c"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,59,DnUnc,2026-06-30T12:01:06+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 3433200017
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 59
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: ab5ec1c3"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -106/-3.2,34,103,UpCnf,2026-06-30T12:01:05+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 3432200017
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 103
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -3.2
RSSI: -106
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 228a4461"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -/-,0,58,DnUnc,2026-06-30T12:01:04+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 3431882514
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 58
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 77c7c4bc"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -105/-3.8,6,102,UpCnf,2026-06-30T12:01:04+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 3430882514
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 102
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -3.8
RSSI: -105
Power: -
Payload(b64): BAAABAAA
Payload(hex): 040000040000
JSON: {""gpio_in_2"":0}
MIC: a3978c13"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -/-,0,57,DnUnc,2026-06-30T12:01:01+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 3428692870
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 57
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: b90cd139"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -106/-5.5,6,102,UpCnf,2026-06-30T12:01:01+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 3427692870
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 102
Port: 85
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -5.5
RSSI: -106
Power: -
Payload(b64): BAAABAAA
Payload(hex): 040000040000
JSON: {""gpio_in_2"":0}
MIC: a3978c13"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -/-,0,56,DnUnc,2026-06-30T12:01:00+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 3427484026
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 56
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 2c40f104"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -106/-4.8,34,101,UpCnf,2026-06-30T12:00:59+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 3426484026
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 101
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -4.8
RSSI: -106
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: a19e82d7"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -/-,0,55,DnUnc,2026-06-30T12:00:58+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 3425831037
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 55
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 568f66e5"
24E124445E318071,24E124FFFEFE11C4,868300000,SF7BW125, -101/4.5,34,100,UpCnf,2026-06-30T12:00:58+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 3424831037
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 100
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 4.5
RSSI: -101
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 839c9f42"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -/-,0,54,DnUnc,2026-06-30T12:00:57+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 3424494038
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 54
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: bb2f3e63"
24E124445E318071,24E124FFFEFE11C4,868500000,SF7BW125, -101/3.8,34,99,UpCnf,2026-06-30T12:00:56+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 3423494038
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 99
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 3.8
RSSI: -101
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: 8337e36c"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -/-,0,53,DnUnc,2026-06-30T12:00:55+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: false
Timestamp: 3422650046
Type: DnUnc
Adr: true
AdrAcKReq: false
Ack: true
Fcnt: 53
Port: -
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: -
RSSI: -
Power: 16
Payload(b64): 
Payload(hex): 
JSON: 
MIC: 54a290d4"
24E124445E318071,24E124FFFEFE11C4,868100000,SF7BW125, -100/4.8,34,98,UpCnf,2026-06-30T12:00:55+02:00,"Dev Addr/Multicast Addr: 06831787
GwEUI: 24E124FFFEFE11C4
AppEUI: 24E124C0002A0001
Device EUI/Group Name: 24E124445E318071
Class Type: Class C
Immediately: -
Timestamp: 3421650046
Type: UpCnf
Adr: false
AdrAcKReq: false
Ack: false
Fcnt: 98
Port: 86
Modulation: LORA
Bandwidth: 125
SpreadFactor: 7
Bitrate: 0
CodeRate: 4/5
SNR: 4.8
RSSI: -100
Power: -
Payload(b64): Q1VTVE9NTUVTU0FHRVRFU1RGT1JHUklEQUNUSVZBVElPTg==
Payload(hex): 435553544f4d4d45535341474554455354464f524752494441435449564154494f4e
JSON: {""text"":""CUSTOMMESSAGETESTFORGRIDACTIVATION""}
MIC: a8f0ccda"
