row_name,g_index,n,mean,std,min,max
R1354,-11,2,-106.0,0.0,-106.0,-106.0
R1354,-10,1,-105.0,,-105.0,-105.0
R1354,-9,6,-98.33,1.03,-100.0,-97.0
R1354,-8,3,-102.67,1.15,-104.0,-102.0
R1354,-7,22,-95.05,2.17,-103.0,-92.0
R1354,-6,5,-96.0,4.18,-101.0,-92.0
R1354,-5,5,-91.2,1.79,-94.0,-89.0
R1354,-4,4,-79.5,1.91,-81.0,-77.0
R1354,-3,6,-72.17,2.64,-77.0,-69.0
R1354,-2,6,-66.33,4.32,-75.0,-64.0
R1354,-1,6,-49.5,1.76,-52.0,-47.0
R1354,1,5,-42.8,5.17,-52.0,-40.0
R1354,2,7,-58.14,8.51,-74.0,-51.0
R1354,3,6,-71.67,0.52,-72.0,-71.0
R1354,4,6,-79.67,3.2,-85.0,-77.0
R1354,5,6,-83.0,3.95,-90.0,-79.0
R1354,6,6,-89.5,7.5,-104.0,-84.0
R1354,7,6,-95.5,5.36,-102.0,-88.0
R1354,8,5,-96.8,6.14,-104.0,-90.0
R1354,9,6,-102.0,1.67,-105.0,-100.0
R1354,10,5,-102.0,2.35,-106.0,-100.0
R1356,-11,2,-106.0,0.0,-106.0,-106.0
R1356,-10,5,-106.6,0.55,-107.0,-106.0
R1356,-9,6,-103.67,2.66,-107.0,-99.0
R1356,-8,3,-104.33,1.15,-105.0,-103.0
R1356,-7,24,-97.5,2.32,-105.0,-95.0
R1356,-6,7,-97.29,1.6,-100.0,-95.0
R1356,-5,6,-94.17,1.47,-96.0,-92.0
R1356,-4,7,-88.14,3.58,-95.0,-83.0
R1356,-3,7,-82.57,6.13,-93.0,-74.0
R1356,-2,8,-69.75,3.37,-75.0,-66.0
R1356,-1,7,-49.71,2.93,-55.0,-46.0
R1356,1,7,-35.86,1.21,-38.0,-35.0
R1356,2,6,-55.33,7.63,-66.0,-48.0
R1356,3,3,-71.33,0.58,-72.0,-71.0
R1356,4,5,-78.6,5.9,-87.0,-72.0
R1356,5,5,-86.0,3.94,-92.0,-82.0
R1356,6,5,-88.4,3.97,-95.0,-85.0
R1356,7,13,-89.46,5.24,-97.0,-84.0
R1356,8,5,-99.6,2.7,-102.0,-95.0
R1356,9,3,-100.67,1.53,-102.0,-99.0
R1356,10,2,-105.0,1.41,-106.0,-104.0
R1356,11,4,-103.75,0.96,-105.0,-103.0
