gateway_number,candidate_id,x_m,y_m,covered_fraction,covered_percent,marginal_fraction_gain,marginal_percent_gain,source_coefficients,scenario,rssi_threshold_dbm,snr_threshold_db,rssi_x_axis_radius_m,rssi_y_axis_radius_m,snr_x_axis_radius_m,snr_y_axis_radius_m,intersection_x_axis_radius_m,intersection_y_axis_radius_m,exact_intersection_area_m2,ellipse_x_radius_m,ellipse_y_radius_m,ellipse_area_m2,ellipse_aspect_x_over_y,footprint_grid_res_m,candidate_spacing_m,candidate_edge_margin_m,evaluation_grid_res_m,stopped_after_no_added_area
1,161,-57.0,-33.599999999999994,0.1728795840325731,17.28795840325731,0.1728795840325731,17.28795840325731,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
2,386,18.0,116.4,0.3457591680651462,34.57591680651462,0.1728795840325731,17.28795840325731,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
3,556,-72.0,236.4,0.5022696635395747,50.22696635395747,0.15651049547442847,15.651049547442847,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
4,127,93.0,-63.599999999999994,0.6358909461058075,63.58909461058075,0.13362128256623285,13.362128256623285,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
5,567,93.0,236.4,0.760185974854879,76.0185974854879,0.1242950287490715,12.42950287490715,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
6,332,-132.0,86.4,0.8450851467715755,84.50851467715755,0.08489917191669649,8.48991719166965,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
7,325,93.0,71.4,0.915513494181408,91.5513494181408,0.0704283474098325,7.042834740983251,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
8,50,-72.0,-108.6,0.9644832044898072,96.44832044898072,0.04896971030839914,4.896971030839914,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
9,372,138.0,101.4,0.9732867479160362,97.32867479160362,0.008803543426229021,0.8803543426229021,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
10,550,-162.0,236.4,0.9819802470494374,98.19802470494375,0.008693499133401228,0.8693499133401228,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
11,653,63.0,296.4,0.9877575724229002,98.77575724229001,0.0057773253734627605,0.577732537346276,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
12,181,-87.0,-18.599999999999994,0.9933423202839142,99.33423202839143,0.005584747861014039,0.5584747861014039,outputs\tests_gh_25_06\physical_2d_model_coefficients.csv,full_clean,-105.0,-3.0,132.95876476735083,186.47314119946785,452.48290248378083,179.1616274468722,132.95876476735083,179.1616274468722,83328.0,100,80,83327.99999999999,0.7663762359241542,1.0,15.0,0.0,2.0,False
