structure_id,run_id,run_date,occurrence,manual_group,position_group,x_m,y_m,all_packets_in_window,uplink_packets_in_window,downlink_packets_in_window,size_34_uplink_packets,size_34_all_packets,size_34_proportion_of_uplinks,size_34_proportion_of_all_packets,has_window_data
R1355,,,,1,1,2.0,4.0,0,0,0,0,0,,,False
R1355,,,,2,2,15.636,4.0,0,0,0,0,0,,,False
R1355,,,,3,3,29.272,4.0,0,0,0,0,0,,,False
R1355,,,,4,4,42.908,4.0,0,0,0,0,0,,,False
R1355,,,,5,5,56.544,4.0,0,0,0,0,0,,,False
R1355,,,,6,6,70.17999999999999,4.0,0,0,0,0,0,,,False
R1356,2026-06-25_R1356_01,2026-06-25,1.0,1,1,2.0,5.1,16,16,0,7,7,0.4375,0.4375,True
R1356,2026-06-25_R1356_01,2026-06-25,1.0,2,2,15.636,5.1,10,10,0,6,6,0.6,0.6,True
R1356,2026-06-25_R1356_01,2026-06-25,1.0,3,3,29.272,5.1,8,8,0,3,3,0.375,0.375,True
R1356,2026-06-25_R1356_01,2026-06-25,1.0,4,4,42.908,5.1,8,8,0,5,5,0.625,0.625,True
R1356,2026-06-25_R1356_01,2026-06-25,1.0,5,5,56.544,5.1,9,9,0,5,5,0.5555555555555556,0.5555555555555556,True
R1356,2026-06-25_R1356_01,2026-06-25,1.0,6,6,70.17999999999999,5.1,9,9,0,5,5,0.5555555555555556,0.5555555555555556,True
R1358,2026-06-25_R1358_01,2026-06-25,1.0,1,1,2.0,7.300000000000001,11,11,0,5,5,0.45454545454545453,0.45454545454545453,True
R1358,2026-06-25_R1358_01,2026-06-25,1.0,2,2,15.636,7.300000000000001,11,11,0,5,5,0.45454545454545453,0.45454545454545453,True
R1358,2026-06-25_R1358_01,2026-06-25,1.0,3,3,29.272,7.300000000000001,11,11,0,5,5,0.45454545454545453,0.45454545454545453,True
R1358,2026-06-25_R1358_01,2026-06-25,1.0,4,4,42.908,7.300000000000001,14,14,0,6,6,0.42857142857142855,0.42857142857142855,True
R1358,2026-06-25_R1358_01,2026-06-25,1.0,5,5,56.544,7.300000000000001,8,8,0,4,4,0.5,0.5,True
R1358,2026-06-25_R1358_01,2026-06-25,1.0,6,6,70.17999999999999,7.300000000000001,15,15,0,8,8,0.5333333333333333,0.5333333333333333,True
R1360,2026-06-25_R1360_01,2026-06-25,1.0,1,1,2.0,9.5,9,9,0,4,4,0.4444444444444444,0.4444444444444444,True
R1360,2026-06-25_R1360_01,2026-06-25,1.0,2,2,15.636,9.5,12,12,0,6,6,0.5,0.5,True
R1360,2026-06-25_R1360_01,2026-06-25,1.0,3,3,29.272,9.5,9,9,0,3,3,0.3333333333333333,0.3333333333333333,True
R1360,2026-06-25_R1360_01,2026-06-25,1.0,4,4,42.908,9.5,10,10,0,4,4,0.4,0.4,True
R1360,2026-06-25_R1360_01,2026-06-25,1.0,5,5,56.544,9.5,10,10,0,4,4,0.4,0.4,True
R1360,2026-06-25_R1360_01,2026-06-25,1.0,6,6,70.17999999999999,9.5,9,9,0,5,5,0.5555555555555556,0.5555555555555556,True
R1360,2026-07-02_R1360_02,2026-07-02,2.0,1,1,2.0,9.5,0,0,0,0,0,,,False
R1360,2026-07-02_R1360_02,2026-07-02,2.0,2,2,15.636,9.5,34,17,17,6,6,0.35294117647058826,0.17647058823529413,True
R1360,2026-07-02_R1360_02,2026-07-02,2.0,3,3,29.272,9.5,36,18,18,8,8,0.4444444444444444,0.2222222222222222,True
R1360,2026-07-02_R1360_02,2026-07-02,2.0,4,4,42.908,9.5,18,9,9,3,3,0.3333333333333333,0.16666666666666666,True
R1360,2026-07-02_R1360_02,2026-07-02,2.0,5,5,56.544,9.5,30,15,15,6,6,0.4,0.2,True
R1360,2026-07-02_R1360_02,2026-07-02,2.0,6,6,70.17999999999999,9.5,34,17,17,6,6,0.35294117647058826,0.17647058823529413,True
